nombre CCs detecte : 168
composant_73 =>Avion 45.6671 | Cercle 8.50882 | Demi Cercle 8.7518 | double fleche 69.2759 | fleche 17.0048 | Rectangle 3D 51.4668 | Rectangle H 1.13128e-05 | Rectangle V 78.1537 | Rectangle V Empty 24.8359 | S 69.1879 | U 76.0633 | X 42.2102 | Z 17.2657 |  => 1.13128e-05 => Rectangle H
composant_74 =>Avion 17.2657 | Cercle 4212.85 | Demi Cercle 4287.04 | double fleche 4359.41 | fleche 4305.72 | Rectangle 3D 4340.48 | Rectangle H 4269.92 | Rectangle V 9.76585e-06 | Rectangle V Empty 4055.86 | S 4210.49 | U 4214.59 | X 4215.11 | Z 4258.94 |  => 9.76585e-06 => Rectangle V
composant_75 =>Avion 4258.94 | Cercle 4212.85 | Demi Cercle 4287.04 | double fleche 4359.41 | fleche 4305.72 | Rectangle 3D 4340.48 | Rectangle H 4269.92 | Rectangle V 9.76585e-06 | Rectangle V Empty 4055.86 | S 4210.49 | U 4214.59 | X 4215.11 | Z 4258.94 |  => 9.76585e-06 => Rectangle V
composant_76 =>Avion 76.171 | Cercle 2.63785 | Demi Cercle 7.81614 | double fleche 73.9205 | fleche 20.9656 | Rectangle 3D 54.2754 | Rectangle H 6.11185 | Rectangle V 79.7402 | Rectangle V Empty 23.5228 | S 66.1359 | U 76.4697 | X 40.911 | Z 14.7741 |  => 2.63785 => Cercle
composant_77 =>Avion 14.7741 | Cercle 1.00882 | Demi Cercle 6.74251 | double fleche 78.5398 | fleche 25.3435 | Rectangle 3D 58.6544 | Rectangle H 7.47879 | Rectangle V 84.4012 | Rectangle V Empty 19.0751 | S 61.7197 | U 72.1704 | X 36.4388 | Z 10.2366 |  => 1.00882 => Cercle
composant_78 =>Avion 10.2366 | Cercle 4556.91 | Demi Cercle 4632.05 | double fleche 4703.84 | fleche 4650.71 | Rectangle 3D 4685.42 | Rectangle H 4613.95 | Rectangle V 1.37836e-05 | Rectangle V Empty 4400.04 | S 4554.67 | U 4558.88 | X 4559.87 | Z 4603.6 |  => 1.37836e-05 => Rectangle V
composant_79 =>Avion 4603.6 | Cercle 4556.91 | Demi Cercle 4632.05 | double fleche 4703.84 | fleche 4650.71 | Rectangle 3D 4685.42 | Rectangle H 4613.95 | Rectangle V 1.37836e-05 | Rectangle V Empty 4400.04 | S 4554.67 | U 4558.88 | X 4559.87 | Z 4603.6 |  => 1.37836e-05 => Rectangle V
composant_80 =>Avion 4603.6 | Cercle 4556.91 | Demi Cercle 4632.05 | double fleche 4703.84 | fleche 4650.71 | Rectangle 3D 4685.42 | Rectangle H 4613.95 | Rectangle V 1.37836e-05 | Rectangle V Empty 4400.04 | S 4554.67 | U 4558.88 | X 4559.87 | Z 4603.6 |  => 1.37836e-05 => Rectangle V
composant_81 =>Avion 4603.6 | Cercle 4556.91 | Demi Cercle 4632.05 | double fleche 4703.84 | fleche 4650.71 | Rectangle 3D 4685.42 | Rectangle H 4613.95 | Rectangle V 1.37836e-05 | Rectangle V Empty 4400.04 | S 4554.67 | U 4558.88 | X 4559.87 | Z 4603.6 |  => 1.37836e-05 => Rectangle V
composant_82 =>Avion 4361.67 | Cercle 4212.85 | Demi Cercle 4287.04 | double fleche 4359.41 | fleche 4305.72 | Rectangle 3D 4340.48 | Rectangle H 4269.92 | Rectangle V 9.76585e-06 | Rectangle V Empty 4055.86 | S 4210.49 | U 4214.59 | X 4215.11 | Z 4258.94 |  => 9.76585e-06 => Rectangle V
